"","logFC.populationSTDI","logFC.populationSTGL2","logFC.populationSTGL3","logFC.populationSTIN","logFC.populationSTPO1","logFC.populationSTTO.BH","logCPM","LR","PValue","FDR"
"Sdiv_ptg000022l_1191-R",6.96561812651851,7.26135982285825,5.13852030581162,6.94588695205127,-4.6823298208341,5.52252953196823,5.33002023863599,678.840698064685,2.26266441538411e-143,1.67050456820158e-140
"Sdiv_ptg000022l_0661-R",0.423631792523296,-3.99743864073782,-9.24377222345073,-10.9194012409504,-10.9194012409504,0.272141152291966,4.3348635598667,676.662133252182,6.68198856882073e-143,4.84515763974169e-140
"Sdiv_ptg000010l_0594-R",-0.46676582799981,-4.4891170099411,-7.3128010683203,-6.76260885246719,0.805715195710559,0.675800700222993,4.43889752384721,675.16151594442,1.40876305767979e-142,1.00358303017799e-139
"Sdiv_ptg000003l_0417-R",-4.03532926209679,-3.93492887652144,-4.73774053396754,-3.83387472034017,-5.66473594689682,-3.42629587577728,8.09508887906366,674.745585355982,1.73229744382859e-142,1.21278741386386e-139
"Sdiv_ptg000009l_0133-R",0.987402208409596,4.87339950399572,4.79328833058246,3.59185555127687,1.87195805058068,3.03480602924735,6.80023666720387,673.711441642912,2.89638048700105e-142,1.99339705178245e-139
"Sdiv_ptg000005l_1174-R",-3.0288431292821,-4.9594504446487,-8.67999275180987,-10.4197053393129,-5.84843806290397,-3.14734817860016,7.28603711990344,669.994517790433,1.83731799702094e-141,1.24343557645054e-138
"Sdiv_ptg000015l_2327-R",-1.21515589821479,-5.7941691036743,-8.01823053859806,-9.93768559602624,-1.43975586169452,-1.28387933042252,4.85469325705655,668.159514631556,4.57377860851363e-141,3.0446369537263e-138
"Sdiv_ptg000010l_2870-R",-7.21651503115539,1.49827318687783,1.03113013691599,1.33429427195992,2.11096327365743,1.56875364650279,5.25918317653227,667.647509906448,5.89918069445826e-141,3.86358276256729e-138
"Sdiv_ptg000009l_2376-R",-1.22651365055803,-4.16886471766967,-4.32563228720826,-4.2413080238515,-0.620757602521047,-1.85075241091086,7.8450208281259,667.288320976318,7.05216662709101e-141,4.54540123904218e-138
"Sdiv_ptg000009l_1587-R",3.33018172634242,-2.47677280016109,-7.08424631802363,-4.33060283635432,0.677125047872367,0.4747387596576,5.30636334241199,661.667682498708,1.15213565184773e-139,7.30994066858265e-137
"Sdiv_ptg000010l_0131-R",-1.46678399339345,-4.79054378707113,-8.33651168252604,-9.63320658338759,-7.6902688136627,-1.27963800510894,5.00845548162669,660.16117515774,2.43592342613944e-139,1.52174010218182e-136
"Sdiv_ptg000007l_1960-R",-6.40871449742935,0.248310902734668,0.682786670096073,0.634583694840898,-7.46501728789781,-0.397852262898738,4.63497563988864,660.0759627652,2.5412973556152e-139,1.56351394578955e-136
"Sdiv_ptg000001l_0373-R",6.08330336978334,10.8133090048365,10.3645904278903,13.7073699936257,3.82673052395787,6.55608540031951,5.52874641913505,656.535511569349,1.47637775618444e-138,8.94773062203362e-136
"Sdiv_ptg000002l_0733-R",-5.89920131820675,-0.98705298368062,-0.327750056586278,-0.14390745192233,-3.22087375215513,-5.45493985026724,6.86739032692273,652.321876558546,1.19839846719704e-137,7.1562011998534e-135
"Sdiv_ptg000009l_2769-R",-0.790170743424347,-4.8521060597156,-5.86414701528345,-4.65003498143871,-2.29473269042942,-2.4602414898971,9.53810460421109,647.809826276403,1.12815880811875e-136,6.63913283514058e-134
"Sdiv_ptg000012l_0975-R",3.25812310364954,-3.20179979187301,-1.04555094957355,-1.0727663287153,-1.40555282019786,1.73351518180421,5.83490443636471,646.656864215248,2.00073823326695e-136,1.1605996671434e-133
"Sdiv_ptg000015l_1189-R",1.06227858879001,-3.66640998924441,-6.83698567567674,-0.288807306900796,1.2478483660366,0.0849761408637862,5.26282596281186,643.09887539484,1.17225017394811e-135,6.70428036103335e-133
"Sdiv_ptg000005l_1201-R",0.103560343297009,-2.16180163835076,-3.27034540791319,-3.20902432068167,-3.45820040586543,-0.978935986106272,7.6353340830846,642.360669236092,1.69170730357626e-135,9.54075927347469e-133
"Sdiv_ptg000003l_1355-R",-4.72958203336929,3.94226209190311,3.18035627440787,3.31429195999509,3.18981833579654,-2.72869255131537,5.71247154970645,639.742072589886,6.21454407803687e-135,3.45681886072281e-132
"Sdiv_ptg000004l_2332-R",-2.4111797966642,-4.25916389675565,-4.86245508313668,-6.99072448682897,-5.5350178802833,-7.15260198621708,5.7608766737759,638.526523162586,1.13688282014311e-134,6.23841402631503e-132
"Sdiv_ptg000010l_0457-R",2.67580925249931,3.24303401336386,1.66872257909948,6.06410823383329,12.487040442007,5.4051991049963,4.33404727034111,636.472913404445,3.15400329841223e-134,1.70761943913769e-131
"Sdiv_ptg000005l_1013-R",2.00818894360401,3.74556380061103,9.80703919440461,7.10821951697886,4.62665924946119,1.44237458596827,5.10135741925275,635.801760340903,4.4023813536785e-134,2.35214601641407e-131
"Sdiv_ptg000007l_1814-R",0.953772435393036,-3.67351588983396,-4.15889695937416,-8.35996944141613,1.51558348386479,-0.488057757417004,7.00295051217279,634.379805072848,8.92324246758582e-134,4.70567770959467e-131
"Sdiv_ptg000004l_1044-R",-5.269744175768,2.3725346559887,1.99527867999482,2.09700727432557,-4.21192376534274,0.366938258264678,6.99780359975426,632.561911603284,2.20185387106648e-133,1.14626254216058e-130
"Sdiv_ptg000012l_1014-R",0.746887998416774,0.120214475289883,-3.19502130432567,-1.7363405763277,-0.296475225701853,7.56411457953801,5.11557830744028,631.357285274789,4.00607736717506e-133,2.05912376672798e-130
"Sdiv_ptg000016l_0171-R",-3.44947144936204,1.63628862511728,2.98943857032693,2.12563345888032,-0.234200886308165,-3.38502256717952,5.0940100779382,628.576511597498,1.59490471054301e-132,8.09533758453869e-130
"Sdiv_ptg000009l_2855-R",1.10592630928568,-1.6077054298792,-6.34571804230021,-6.82260938869023,2.01846671676977,1.33630682828006,6.32468676541524,625.70444880063,6.64400769968594e-132,3.33069847720305e-129
"Sdiv_ptg000005l_1056-R",3.5641014662724,5.07767962411296,5.4617170904454,5.49526594198586,-3.25229816240082,4.05001634677753,5.48401272206364,623.215304599303,2.28817768340008e-131,1.13309442697736e-128
"Sdiv_ptg000007l_0548-R",-4.54262490081271,3.56213839746244,1.66207884199439,3.31399398848122,-6.49621511741902,-8.15976818022228,4.56643220006893,620.74202196131,7.81831970809587e-131,3.82494807309567e-128
"Sdiv_ptg000001l_1064-R",-3.41196992868414,1.79425697759116,1.42884463160294,0.75287419656162,1.47696908577159,0.207853027971477,6.3814762926935,617.690273749923,3.560616408259e-130,1.72121892706863e-127
"Sdiv_ptg000009l_0043-R",1.46111485644339,-0.625546085634559,-1.75710028470854,-1.55224332218373,-4.64928580144903,0.437434655878243,7.51590595520868,616.409771485935,6.72645232116998e-130,3.21334497592268e-127
"Sdiv_ptg000014l_1792-R",4.11190722523002,1.74258532727331,-3.1667564578735,2.48365372616577,-1.63965997948482,1.2715260998834,6.32268952685992,613.390544895132,3.01405927462938e-129,1.42312663843722e-126
"Sdiv_ptg000005l_1135-R",-4.72321797562523,-5.76847127443684,-6.27111616090243,-0.727359433995678,0.694240417978729,-0.240588358241817,4.8050433961207,613.071422420082,3.53181395726928e-129,1.64842342010203e-126
"Sdiv_ptg000022l_0269-R",-3.58373076385855,0.397694330150791,-0.488781207401122,-0.328842967384522,-8.02666159678399,-0.112112102581304,8.65103063606166,606.899656313757,7.57565613146617e-128,3.49564878266268e-125
"Sdiv_ptg000007l_0591-R",-0.657948188105287,-5.52416940215242,-11.9503856757122,-4.99460391012661,-3.00072363574172,-1.12763137446322,4.793139946262,605.923212490998,1.23043406298615e-127,5.61382084961974e-125
