sample.description,sample,population,condition,replicate,group
STTO-BH_24 hr 20˚ L wp-0.3_1,m11,STTO-BH,24 hr 20˚ L wp-0.3,1,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_2,m12,STTO-BH,24 hr 20˚ L wp-0.3,2,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_3,m13,STTO-BH,24 hr 20˚ L wp-0.3,3,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_4,m14,STTO-BH,24 hr 20˚ L wp-0.3,4,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_24 hr 20˚ L wp-0.3_5,m15,STTO-BH,24 hr 20˚ L wp-0.3,5,STTO-BH_24 hr 20˚ L wp-0.3
STTO-BH_5 days 5˚ L wp0_1,m16,STTO-BH,5 days 5˚ L wp0,1,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_2,m17,STTO-BH,5 days 5˚ L wp0,2,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_3,m18,STTO-BH,5 days 5˚ L wp0,3,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_4,m19,STTO-BH,5 days 5˚ L wp0,4,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ L wp0_5,m20,STTO-BH,5 days 5˚ L wp0,5,STTO-BH_5 days 5˚ L wp0
STTO-BH_5 days 5˚ D wp0_1,m21,STTO-BH,5 days 5˚ D wp0,1,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_2,m22,STTO-BH,5 days 5˚ D wp0,2,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_3,m23,STTO-BH,5 days 5˚ D wp0,3,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_4,m24,STTO-BH,5 days 5˚ D wp0,4,STTO-BH_5 days 5˚ D wp0
STTO-BH_5 days 5˚ D wp0_5,m25,STTO-BH,5 days 5˚ D wp0,5,STTO-BH_5 days 5˚ D wp0
STTO-BH_24 hr 20˚ D wp0_1,m26,STTO-BH,24 hr 20˚ D wp0,1,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_2,m27,STTO-BH,24 hr 20˚ D wp0,2,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_3,m28,STTO-BH,24 hr 20˚ D wp0,3,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_4,m29,STTO-BH,24 hr 20˚ D wp0,4,STTO-BH_24 hr 20˚ D wp0
STTO-BH_24 hr 20˚ D wp0_5,m30,STTO-BH,24 hr 20˚ D wp0,5,STTO-BH_24 hr 20˚ D wp0
